"COU","Country","VAR","Variable","CO2","Country of origin","YEA","Year","Value","Flag Codes","Flags"
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2012","2012",75258,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2013","2013",77974,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2014","2014",80968,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2015","2015",83490,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2016","2016",86550,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2017","2017",90417,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2018","2018",93604,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2019","2019",97039,,
"AUS","Australia","DTRD","Domestically-trained doctors","TOT","Total","2012","2012",46938,,
"AUS","Australia","DTRD","Domestically-trained doctors","TOT","Total","2013","2013",48405,,
"AUS","Australia","DTRD","Domestically-trained doctors","TOT","Total","2014","2014",51210,,
"AUS","Australia","DTRD","Domestically-trained doctors","TOT","Total","2015","2015",53503,,
"AUS","Australia","DTRD","Domestically-trained doctors","TOT","Total","2016","2016",55727,,
"AUS","Australia","DTRD","Domestically-trained doctors","TOT","Total","2017","2017",58521,,
"AUS","Australia","DTRD","Domestically-trained doctors","TOT","Total","2018","2018",60437,,
"AUS","Australia","DTRD","Domestically-trained doctors","TOT","Total","2019","2019",62638,,
"AUS","Australia","FTDS","Foreign-trained doctors - Stock","TOT","Total","2012","2012",24892,,
"AUS","Australia","FTDS","Foreign-trained doctors - Stock","TOT","Total","2013","2013",23159,,
"AUS","Australia","FTDS","Foreign-trained doctors - Stock","TOT","Total","2014","2014",25694,,
"AUS","Australia","FTDS","Foreign-trained doctors - Stock","TOT","Total","2015","2015",27008,,
"AUS","Australia","FTDS","Foreign-trained doctors - Stock","TOT","Total","2016","2016",28283,,
"AUS","Australia","FTDS","Foreign-trained doctors - Stock","TOT","Total","2017","2017",29000,,
"AUS","Australia","FTDS","Foreign-trained doctors - Stock","TOT","Total","2018","2018",30383,,
"AUS","Australia","FTDS","Foreign-trained doctors - Stock","TOT","Total","2019","2019",31579,,
"AUS","Australia","UUUD","Unknown place of training (doctors)","TOT","Total","2012","2012",3427,,
"AUS","Australia","UUUD","Unknown place of training (doctors)","TOT","Total","2013","2013",6410,,
"AUS","Australia","UUUD","Unknown place of training (doctors)","TOT","Total","2014","2014",4064,,
"AUS","Australia","UUUD","Unknown place of training (doctors)","TOT","Total","2015","2015",2979,,
"AUS","Australia","UUUD","Unknown place of training (doctors)","TOT","Total","2016","2016",2540,,
"AUS","Australia","UUUD","Unknown place of training (doctors)","TOT","Total","2017","2017",2896,,
"AUS","Australia","UUUD","Unknown place of training (doctors)","TOT","Total","2018","2018",2784,,
"AUS","Australia","UUUD","Unknown place of training (doctors)","TOT","Total","2019","2019",2822,,
"AUS","Australia","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2014","2014",2685,,
"AUS","Australia","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2015","2015",2717,,
"AUS","Australia","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2016","2016",2726,,
"AUS","Australia","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2017","2017",2695,,
"AUS","Australia","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2018","2018",2954,,
"AUS","Australia","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2019","2019",2993,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2013","2013",257189,"B","Break"
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2014","2014",264876,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2015","2015",271151,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2016","2016",279789,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2017","2017",287405,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2018","2018",297807,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2019","2019",309906,,
"AUS","Australia","DTRN","Domestically-trained nurses","TOT","Total","2013","2013",193249,"B","Break"
"AUS","Australia","DTRN","Domestically-trained nurses","TOT","Total","2014","2014",210980,,
"AUS","Australia","DTRN","Domestically-trained nurses","TOT","Total","2015","2015",217108,,
"AUS","Australia","DTRN","Domestically-trained nurses","TOT","Total","2016","2016",224447,,
"AUS","Australia","DTRN","Domestically-trained nurses","TOT","Total","2017","2017",230609,,
"AUS","Australia","DTRN","Domestically-trained nurses","TOT","Total","2018","2018",238499,,
"AUS","Australia","DTRN","Domestically-trained nurses","TOT","Total","2019","2019",247971,,
"AUS","Australia","FTNS","Foreign-trained nurses - Stock","TOT","Total","2013","2013",44283,"B","Break"
"AUS","Australia","FTNS","Foreign-trained nurses - Stock","TOT","Total","2014","2014",48533,,
"AUS","Australia","FTNS","Foreign-trained nurses - Stock","TOT","Total","2015","2015",49126,,
"AUS","Australia","FTNS","Foreign-trained nurses - Stock","TOT","Total","2016","2016",51180,,
"AUS","Australia","FTNS","Foreign-trained nurses - Stock","TOT","Total","2017","2017",52860,,
"AUS","Australia","FTNS","Foreign-trained nurses - Stock","TOT","Total","2018","2018",53784,,
"AUS","Australia","FTNS","Foreign-trained nurses - Stock","TOT","Total","2019","2019",56220,,
"AUS","Australia","UUUN","Unknown place of training (nurses)","TOT","Total","2013","2013",19657,"B","Break"
"AUS","Australia","UUUN","Unknown place of training (nurses)","TOT","Total","2014","2014",5363,,
"AUS","Australia","UUUN","Unknown place of training (nurses)","TOT","Total","2015","2015",4917,,
"AUS","Australia","UUUN","Unknown place of training (nurses)","TOT","Total","2016","2016",4162,,
"AUS","Australia","UUUN","Unknown place of training (nurses)","TOT","Total","2017","2017",3936,,
"AUS","Australia","UUUN","Unknown place of training (nurses)","TOT","Total","2018","2018",5524,,
"AUS","Australia","UUUN","Unknown place of training (nurses)","TOT","Total","2019","2019",5715,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2010","2010",33042,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2011","2011",33656,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2012","2012",34491,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2013","2013",35842,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2014","2014",36772,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2015","2015",37685,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2016","2016",37651,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2017","2017",37963,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2018","2018",38252,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2019","2019",39207,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2010","2010",31753,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2011","2011",32284,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2012","2012",32990,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2013","2013",34204,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2014","2014",34910,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2015","2015",35747,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2016","2016",35593,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2017","2017",35774,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2018","2018",35970,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2019","2019",36710,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2010","2010",1289,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2011","2011",1372,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2012","2012",1501,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2013","2013",1638,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2014","2014",1862,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2015","2015",1938,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2016","2016",2058,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2017","2017",2189,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2018","2018",2282,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2019","2019",2497,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2010","2010",191,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2011","2011",179,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2012","2012",196,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2013","2013",224,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2014","2014",263,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2015","2015",242,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2016","2016",225,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2017","2017",238,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2018","2018",209,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2019","2019",257,,
"AUT","Austria","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2013","2013",900,,
