COUNTRY,INDICATOR,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ARG,ADTERPOP_XT,,,,,,,,,,
ARG,BE_AF_NC,9.8,9.9,11.8,12.1,16.5,23.39,27.41,32.94,,
ARG,BE_AF_PPP,7.29,6.42,6.44,6.05,7.11,8.78,8.87,9.15,,
ARG,BE_AF_PPPK,7.76,6.66,6.55,6.11,7.11,8.55,8.45,8.48,,
ARG,BE_AF_XGDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
ARG,BE_AR_NC,329.8,419.7,497.5,508.5,692.7,983.51,1152.71,1385.33,,
ARG,BE_AR_PPP,245.2,272.18,271.41,254.38,298.45,369.05,373.04,384.6,,
ARG,BE_AR_XGDP,0.04,0.04,0.04,0.04,0.04,0.04,0.04,,,
ARG,BE_BEF_NC,930.3,1183.9,1405.1,1436.4,1956.6,2778.05,3255.97,3913.04,,
ARG,BE_BEF_PPP,691.67,767.77,766.56,718.56,843.0,1042.42,1053.71,1086.35,,
ARG,BE_BEF_PPPK,736.58,796.55,779.72,725.38,843.0,1016.08,1003.55,1007.48,,
ARG,BE_BEF_XBE,94.52,94.53,94.65,94.65,,,,,,
ARG,BE_BEF_XG,28.74,28.69,25.97,21.07,21.97,23.31,20.32,18.78,,
ARG,BE_BEF_XGDP,0.12,0.12,0.11,0.1,0.11,0.12,0.12,,,
ARG,BE_DGVF_NC,44.1,58.6,67.6,69.1,94.1,133.59,156.57,188.17,,
ARG,BE_DGVF_PPP,32.79,38.0,36.88,34.57,40.54,50.13,50.67,52.24,,
ARG,BE_DGVF_PPPK,34.92,39.43,37.51,34.9,40.54,48.86,48.26,48.45,,
ARG,BE_DGVF_XBE,4.48,4.68,4.55,4.55,,,,,,
ARG,BE_DGVF_XG,1.36,1.42,1.25,1.01,1.06,1.12,0.98,0.9,,
ARG,BE_DGVF_XGDP,0.01,0.01,0.01,0.0,0.01,0.01,0.01,,,
ARG,BE_ED_NC,630.8,802.7,951.4,972.7,1324.9,1881.1,2204.71,2649.63,,
ARG,BE_ED_PPP,469.0,520.56,519.04,486.59,570.83,705.85,713.5,735.6,,
ARG,BE_ED_XGDP,0.08,0.08,0.07,0.07,0.07,0.08,0.08,,,
ARG,BE_GRO,8.06,8.13,-2.24,-6.97,,14.78,5.06,-1.23,-16.39,
ARG,BE_NC,984.2,1252.4,1484.5,1517.6,2532.44,3423.99,4268.77,5047.38,5441.56,
ARG,BE_PPP,731.75,812.19,809.87,759.18,1091.1,1284.8,1381.48,1401.27,1143.42,
ARG,BE_PPPK,779.25,842.64,823.78,766.39,1091.1,1252.34,1315.72,1299.53,1086.58,
ARG,BE_XG,30.4,30.35,27.44,22.26,27.02,27.6,25.33,24.22,20.06,
ARG,BE_XGDP,0.12,0.12,0.12,0.11,0.14,0.15,0.15,0.15,0.12,
ARG,CO2GDP_PPPK,0.27,0.26,0.27,0.26,0.24,0.23,0.24,0.22,0.24,
ARG,CORPRD500_GDP,,,,,,,,,,0.0
ARG,DMOPT_NB,26.0,38.0,38.0,17.0,29.0,32.0,30.0,36.0,33.0,
ARG,EGOV_I,,,0.58,,0.55,,0.62,,0.63,
ARG,EMPVF_XEMF,17.3,16.6,16.4,16.9,16.5,16.1,16.1,16.3,,
ARG,EMPV_XEMP,20.1,19.2,19.1,19.6,19.0,18.6,19.0,20.5,,
ARG,EPLDSMC_I,,,,,,,3.88,3.88,3.88,
ARG,EPLDSMI_I,,,,,,,2.62,2.62,2.62,
ARG,EPLTMP_I,,,,,,,3.04,3.04,3.04,
ARG,E_GVF_PPP,,,,,,,45636.89,50536.93,,
