Country Name,Country Code,Time,Time Code,Control of Corruption: Estimate [CC.EST],Government Effectiveness: Estimate [GE.EST],Political Stability and Absence of Violence/Terrorism: Estimate [PV.EST],Regulatory Quality: Estimate [RQ.EST],Rule of Law: Estimate [RL.EST],Voice and Accountability: Estimate [VA.EST]
Turkey,TUR,2002,YR2002,-0.5218159,0.0831476,-0.8085832,0.1009366,-0.0273652,-0.2195705
Turkey,TUR,2003,YR2003,-0.1838556,0.0522938,-0.7669207,0.0437174,0.1510643,-0.0332708
Turkey,TUR,2004,YR2004,-0.1751383,0.0088391,-0.834218,0.0578256,0.1262435,0.0132019
Turkey,TUR,2005,YR2005,-0.0313143,0.1542038,-0.6015393,0.2773776,0.1597313,0.0002338
Turkey,TUR,2006,YR2006,0.0273459,0.1200856,-0.5896572,0.2891251,0.0482519,-0.0640953
Turkey,TUR,2007,YR2007,0.1052756,0.3065605,-0.8175476,0.3172911,0.021233,-0.0533246
Turkey,TUR,2008,YR2008,0.1123597,0.2686568,-0.8235704,0.2593855,0.0830613,-0.0412864
Turkey,TUR,2009,YR2009,0.0877801,0.2779772,-1.031842,0.2801023,0.1048895,-0.0555225
Turkey,TUR,2010,YR2010,0.0292836,0.2948473,-0.9152855,0.2986633,0.1106696,-0.0848207
Turkey,TUR,2011,YR2011,0.044252,0.3485771,-0.9599971,0.3703377,0.0747859,-0.1368507
Turkey,TUR,2012,YR2012,0.1575747,0.408412,-1.220532,0.4200954,0.0363026,-0.2069335
Turkey,TUR,2013,YR2013,0.0923324,0.3811387,-1.249933,0.429084,0.0668904,-0.2513264
Turkey,TUR,2014,YR2014,-0.1478636,0.364953,-1.086036,0.3994922,0.0050337,-0.3384197
Turkey,TUR,2015,YR2015,-0.1543013,0.2227048,-1.493914,0.2708806,-0.1131079,-0.3677201
Turkey,TUR,2016,YR2016,-0.1914557,0.0482446,-2.009063,0.1961425,-0.2087604,-0.6071846
Turkey,TUR,2017,YR2017,-0.1944939,0.0732635,-1.788514,0.0358436,-0.2548287,-0.7058599
Turkey,TUR,2018,YR2018,-0.3298205,0.0062523,-1.318893,0.0151102,-0.3175219,-0.851069
Turkey,TUR,2019,YR2019,-0.3082614,0.0478893,-1.371728,-0.007641,-0.2826563,-0.8342999
Turkey,TUR,2020,YR2020,-0.3407802,-0.0440451,-1.18776,-0.0106597,-0.3586216,-0.8616992
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data from database: Worldwide Governance Indicators,,,,,,,,,
Last Updated: 09/27/2021,,,,,,,,,
