"COUNTRY","Country","VARIABLE","Variable","UNIT","Unit","MEASURE","Measure","TIME","Time","Value","Flag Codes","Flags"
"CAB","Alberta (Canada)","1_T000","Female teachers","PERCENTAGE","Percentage","VAL","Value","2013","2013",60.299999,,
"CAB","Alberta (Canada)","1_T000","Female teachers","PERCENTAGE","Percentage","VAL","Value","2018","2018",63.5,,
"CAB","Alberta (Canada)","1_T029","Teachers aged 50 and above","PERCENTAGE","Percentage","VAL","Value","2013","2013",21.4,,
"CAB","Alberta (Canada)","1_T029","Teachers aged 50 and above","PERCENTAGE","Percentage","VAL","Value","2018","2018",20.4,,
"CAB","Alberta (Canada)","2_T004","Female principals","PERCENTAGE","Percentage","VAL","Value","2013","2013",43.099998,,
"CAB","Alberta (Canada)","2_T004","Female principals","PERCENTAGE","Percentage","VAL","Value","2018","2018",29.700001,,
"CAB","Alberta (Canada)","2_T030","Principals aged 60 and above","PERCENTAGE","Percentage","VAL","Value","2013","2013",8.3999996,,
"CAB","Alberta (Canada)","2_T030","Principals aged 60 and above","PERCENTAGE","Percentage","VAL","Value","2018","2018",19.299999,,
"CAB","Alberta (Canada)","3_T022","Average proportion of class-time teachers report spending on administrative tasks such as marking attendance","PERCENTAGE","Percentage","VAL","Value","2018","2018",6.5,,
"CAB","Alberta (Canada)","3_T023","Average proportion of class-time teachers report spending on classroom management","PERCENTAGE","Percentage","VAL","Value","2018","2018",12.9,,
"CAB","Alberta (Canada)","3_T024","Average proportion of class-time teachers report spending on actual teaching and learning","PERCENTAGE","Percentage","VAL","Value","2013","2013",79,,
"CAB","Alberta (Canada)","3_T024","Average proportion of class-time teachers report spending on actual teaching and learning","PERCENTAGE","Percentage","VAL","Value","2018","2018",80.599998,,
"CAB","Alberta (Canada)","3_T078","Teachers who report to 'frequently' or 'always' present tasks for which there is no obvious solution","PERCENTAGE","Percentage","VAL","Value","2018","2018",31.799999,,
"CAB","Alberta (Canada)","3_T079","Teachers who report to 'frequently' or 'always' give tasks that require students to think critically","PERCENTAGE","Percentage","VAL","Value","2018","2018",76,,
"CAB","Alberta (Canada)","4_T072","Average proportion of time principals report spending on administrative tasks and meetings","PERCENTAGE","Percentage","VAL","Value","2018","2018",33,,
"CAB","Alberta (Canada)","4_T073","Average proportion of time principals report spending on leadership tasks and meetings","PERCENTAGE","Percentage","VAL","Value","2018","2018",16.799999,,
"CAB","Alberta (Canada)","5_T032","Teachers for whom content pedagogy and classroom practice in some or all subjects taught were included in their initial formal education or training","PERCENTAGE","Percentage","VAL","Value","2018","2018",79.599998,,
"CAB","Alberta (Canada)","5_T033","Teachers who did not take part in formal or informal induction activities at the current school","PERCENTAGE","Percentage","VAL","Value","2018","2018",55,,
"CAB","Alberta (Canada)","5_T034","Novice teachers who have an assigned mentor at the current school","PERCENTAGE","Percentage","VAL","Value","2018","2018",24.700001,,
"CAB","Alberta (Canada)","6_T035","Principals for whom school administration or principal training programme or course elements were never included in their formal education or training","PERCENTAGE","Percentage","VAL","Value","2018","2018",31.799999,,
"CAB","Alberta (Canada)","6_T092","Principals for whom school administration or principal training programme or course were included in their formal education or training before taking up position as principal","PERCENTAGE","Percentage","VAL","Value","2018","2018",30,,
"CAB","Alberta (Canada)","6_T094","Principals for whom instructional leadership training or course were included in their formal education or training before taking up position as principal","PERCENTAGE","Percentage","VAL","Value","2018","2018",17.1,,
"CAB","Alberta (Canada)","7_T012","Teachers who undertook professional development in the last 12 months","PERCENTAGE","Percentage","VAL","Value","2018","2018",98.699997,,
"CAB","Alberta (Canada)","7_T105","Teachers who participated in peer and/or self-observation and coaching as part of a formal school arrangement in the 12 months prior to the survey","PERCENTAGE","Percentage","VAL","Value","2018","2018",40.700001,,
"CAB","Alberta (Canada)","7_T106","Teachers who participated in a network of teachers formed specifically for the professional development of teachers in the 12 months prior to the survey","PERCENTAGE","Percentage","VAL","Value","2018","2018",63.400002,,
"CAB","Alberta (Canada)","7_T107","Teachers who feel professional development activities in the 12 months prior to the survey had a positive impact on their teaching practices","PERCENTAGE","Percentage","VAL","Value","2018","2018",91.400002,,
"CAB","Alberta (Canada)","8_T031","Principals who participated in at least one professional development activity in the 12 months prior to the survey","PERCENTAGE","Percentage","VAL","Value","2018","2018",99.300003,,
"CAB","Alberta (Canada)","8_T036","Principals who have never received any instructional leadership training","PERCENTAGE","Percentage","VAL","Value","2018","2018",29.1,,
"CAB","Alberta (Canada)","9_T025","Teachers who believe they can help their students to value learning","PERCENTAGE","Percentage","VAL","Value","2018","2018",82.199997,,
"CAB","Alberta (Canada)","9_T026","Teachers who believe they can help their students to think critically","PERCENTAGE","Percentage","VAL","Value","2018","2018",87.199997,,
"CAB","Alberta (Canada)","10_T101","Teachers for whom teaching was their first choice as a career","PERCENTAGE","Percentage","VAL","Value","2018","2018",67.599998,,
"CAB","Alberta (Canada)","10_T102","Teachers who report that influencing the development of children and young people was of 'moderate importance' or 'high importance' in deciding to become a teacher","PERCENTAGE","Percentage","VAL","Value","2018","2018",98.800003,,
"CAB","Alberta (Canada)","10_T103","Teachers who report that providing a contribution to society was of 'moderate importance' or 'high importance' in deciding to become a teacher","PERCENTAGE","Percentage","VAL","Value","2018","2018",94.699997,,
"CAB","Alberta (Canada)","11_T096","Teachers who 'agree' or 'strongly agree' that teachers and students usually get on well with each other","PERCENTAGE","Percentage","VAL","Value","2018","2018",97.699997,,
"CAB","Alberta (Canada)","11_T097","Principals reporting that intimidation or bullying among students occurred at least weekly in their school","PERCENTAGE","Percentage","VAL","Value","2018","2018",12.5,,
"CAB","Alberta (Canada)","12_T053","Teachers reporting a high level of need for professional development in student behaviour and classroom management","PERCENTAGE","Percentage","VAL","Value","2018","2018",4.0999999,,
"CAB","Alberta (Canada)","12_T054","Teachers who 'agree' or 'strongly agree' that they lose quite a lot of time because of students interrupting the lessons","PERCENTAGE","Percentage","VAL","Value","2018","2018",26.299999,,
"CAB","Alberta (Canada)","12_T055","Teachers for whom 'student behaviour and classroom management' was included in their formal education or training","PERCENTAGE","Percentage","VAL","Value","2018","2018",87.300003,,
"CAB","Alberta (Canada)","12_T056","Teachers who felt 'well prepared' or 'very well prepared' for student behaviour and classroom management","PERCENTAGE","Percentage","VAL","Value","2018","2018",56.400002,,
"CAB","Alberta (Canada)","12_T058","Teachers who feel that they can control disruptive behaviour in the classroom","PERCENTAGE","Percentage","VAL","Value","2018","2018",87.199997,,
"CAB","Alberta (Canada)","13_T013","Teachers reporting a high level of need for professional development in ICT skills for teaching","PERCENTAGE","Percentage","VAL","Value","2013","2013",9.3000002,,
"CAB","Alberta (Canada)","13_T013","Teachers reporting a high level of need for professional development in ICT skills for teaching","PERCENTAGE","Percentage","VAL","Value","2018","2018",8.3999996,,
"CAB","Alberta (Canada)","13_T037","Principals reporting shortage or inadequacy of digital technology for instruction","PERCENTAGE","Percentage","VAL","Value","2018","2018",12.1,,
"CAB","Alberta (Canada)","13_T038","Teachers who 'frequently' or 'always' let students use ICT  for projects or class work","PERCENTAGE","Percentage","VAL","Value","2018","2018",65.699997,,
"CAB","Alberta (Canada)","13_T039","Teachers for whom the 'use of ICT for teaching' was included in their formal education or training","PERCENTAGE","Percentage","VAL","Value","2018","2018",70.5,,
"CAB","Alberta (Canada)","13_T040","Teachers who felt 'well prepared' or 'very well prepared' for the use of ICT for teaching","PERCENTAGE","Percentage","VAL","Value","2018","2018",42.099998,,
"CAB","Alberta (Canada)","14_T042","Teachers who feel they can cope with the challenges of a multicultural classroom 'quite a bit' or 'a lot' in teaching a culturally diverse class","PERCENTAGE","Percentage","VAL","Value","2018","2018",66.599998,,
"CAB","Alberta (Canada)","14_T043","Teachers reporting a high level of need for professional development in teaching in a multicultural or multilingual setting","PERCENTAGE","Percentage","VAL","Value","2013","2013",3.8,,
