ISO,ThreeDigitCountryCodeOE
AFG,AFG
ALB,ALB
DZA,DZA
AND,AND
AGO,AGO
AIA,ANG
ATG,ATG
ARG,ARG
ARM,ARM
ABW,ABW
AUS,AUS
AUT,AUT
AZE,AZE
BHS,BHS
BHR,BHR
BGD,BGD
BRB,BRB
BLR,BLR
BEL,BEL
BLZ,BLZ
BEN,BEN
BMU,BMU
BTN,BHU
BOL,BOL
BIH,BIH
BWA,BWA
BRA,BRA
BRN,BRN
BGR,BGR
BFA,BFA
BDI,BDI
KHM,KHM
CMR,CMR
CAN,CAN
CPV,CPV
CYM,CYM
CAF,CAF
TCD,TCD
CHL,CHL
CHN,CHN
COL,COL
COM,COM
COD,ZAR
COG,COG
CRI,CRI
CIV,CIV
HRV,HRV
CUB,CUB
CYP,CYP
CZE,CZE
DNK,DNK
DJI,DJI
DMA,DMA
DOM,DOM
TLS,ETM
ECU,ECU
EGY,EGY
SLV,SLV
GNQ,GNQ
ERI,ERI
EST,EST
ETH,ETH
FJI,FJI
FIN,FIN
FRA,FRA
GAB,GAB
GMB,GMB
GEO,GEO
DEU,DEU
GHA,GHA
GRC,GRC
GRL,GRL
GRD,GRD
GLP,GUD
GTM,GTM
GIN,GIN
GNB,GNB
GUY,GUY
HTI,HTI
HND,HND
HKG,HKG
HUN,HUN
ISL,ISL
IND,IND
IDN,IDN
IRN,IRN
IRQ,IRQ
IRL,IRL
ISR,ISR
ITA,ITA
JAM,JAM
JPN,JPN
JOR,JOR
KAZ,KAZ
KEN,KEN
KIR,KIR
XKX,KVO
KWT,KWT
KGZ,KYR
LAO,LAO
LVA,LVA
LBN,LBN
LSO,LSO
LBR,LBR
LBY,LBY
LTU,LTU
LUX,LUX
MAC,MAC
MKD,MKD
MDG,MDG
MWI,MWI
MYS,MYS
MDV,MDV
MLI,MLI
MLT,MLT
MTQ,MTQ
MRT,MRT
MUS,MUS
MEX,MEX
MDA,MDA
MNG,MON
MNE,MNE
MAR,MAR
MOZ,MOZ
MMR,MMR
NAM,NAM
NPL,NPL
NLD,NLD
ANT,CUR
NZL,NZL
NIC,NIC
NER,NER
NGA,NGA
PRK,PRK
NOR,NOR
OMN,OMN
PAK,PAK
PAN,PAN
PNG,PNG
PRY,PRY
PER,PER
PHL,PHL
POL,POL
PRT,PRT
PRI,PRI
QAT,QAT
REU,REU
ROU,ROM
RUS,RUS
RWA,RWA
WSM,WSM
STP,STP
SAU,SAU
SEN,SEN
SRB,YUG
SYC,SYC
SLE,SLE
SGP,SGP
SVK,SVK
SVN,SVN
SLB,SLB
SOM,SOM
ZAF,ZAF
KOR,KOR
ESP,ESP
LKA,LKA
KNA,KNA
LCA,LCA
VCT,VCT
SDN,SDN
SUR,SUR
SWZ,SWZ
SWE,SWE
CHE,CHE
SYR,SYR
TWN,TAI
TJK,TJK
TZA,TZA
THA,THA
TGO,TGO
TON,TON
TTO,TTO
TUN,TUN
TUR,TUR
TKM,TKM
UGA,UGA
UKR,UKR
ARE,ARE
GBR,GBR
USA,USA
URY,URY
UZB,UZB
VUT,VUT
VEN,VEN
VNM,VNM
VIR,VIR
PSE,WBG
YEM,YEM
ZMB,ZMB
ZWE,ZWE
